carving_id,stone,source,hc_recurve,hc_ring,hc_axe_note,area_px,perim_px,width_px,height_px,area_rel,perim_cm,width_cm,height_cm,circularity,aspect_ratio,roundness,solidity,lda_p_mushroom,rf_p_mushroom,mahal_dist_to_axe_centroid,mahal_dist_to_mushroom_centroid,nearest_centroid
s4_027,4,"Extracted (this study, from Stone4.tiff)",,,,17084.0,659.4041122946064,151.0,218.0,,,,,0.4937375120469467,1.866617376626281,0.3884352260757591,0.764418989663967,2.3730922852246344e-05,0.37666666666666665,3.0952263695173103,3.7226697246335934,axe
s4_028,4,"Extracted (this study, from Stone4.tiff)",,,,14837.0,622.5168106668144,171.0,190.0,,,,,0.4811204236451268,1.3541124433528735,0.5471512736401745,0.7586154003476838,0.11201341494491465,0.74,3.358930582892786,3.3676811151874246,axe
s4_029,4,"Extracted (this study, from Stone4.tiff)",,,,12634.0,622.9604614807105,169.0,166.0,,,,,0.4091002734276714,1.2519930016168974,0.5275215412822455,0.6725220909187692,0.31025044964952686,0.7533333333333333,4.28105020449488,4.158327279334631,mushroom
s4_030,4,"Extracted (this study, from Stone4.tiff)",,,,29430.0,973.4356415871824,263.0,278.0,,,,,0.390288395933755,1.391579148992733,0.4959036939776879,0.659998654436994,0.1644117097076577,0.72,4.164698949455697,4.024148467508636,mushroom
s4_031,4,"Extracted (this study, from Stone4.tiff)",,,,17724.0,694.4163056034262,183.0,216.0,,,,,0.4618827952612954,1.3864871476441427,0.4828858787732519,0.7110362257792755,0.006290464597701893,0.6933333333333334,3.3058205165132923,4.2944601694928854,axe
s4_032,4,"Extracted (this study, from Stone4.tiff)",,,,9604.0,473.94826817189073,142.0,133.0,,,,,0.5372793314527785,1.106752507401459,0.6683451779129334,0.7825307585757354,0.9156648152004038,0.92,5.099334012997417,2.7079328244504346,mushroom
s4_033,4,"Extracted (this study, from Stone4.tiff)",,,,97319.0,2030.655987697715,424.0,639.0,,,,,0.2965751710941957,2.3044552235159506,0.2517215783936903,0.5755898200228299,3.2838008908770815e-05,0.7,5.49724623393229,4.131006346152107,mushroom
s4_034,4,"Extracted (this study, from Stone4.tiff)",,,,8435.0,470.91883092036784,126.0,146.0,,,,,0.4779724188163813,1.4367176210253114,0.5080669526461025,0.7362953910614525,0.01702759130427754,0.6766666666666666,2.974980230329418,3.634578789086844,axe
s4_035,4,"Extracted (this study, from Stone4.tiff)",,,,14642.0,688.5584412271571,167.0,188.0,,,,,0.3880866048575857,1.1453202288465172,0.6104029054211125,0.6984020987359886,0.9900913309096159,0.85,5.833553331247137,3.298184518689915,mushroom
s4_036,4,"Extracted (this study, from Stone4.tiff)",,,,8535.0,467.8061325481598,137.0,130.0,,,,,0.4900964626968193,1.2626092962825235,0.5849990146375578,0.7426905673512009,0.40237891562428496,0.86,3.8727343658663322,3.1863379900697226,mushroom
