carving_id,stone,source,hc_recurve,hc_ring,hc_axe_note,area_px,perim_px,width_px,height_px,area_rel,perim_cm,width_cm,height_cm,circularity,aspect_ratio,roundness,solidity,mahal_d_axe,mahal_d_mushroom,lda_p_mushroom,closer_to
F605.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,59563.0,1278.06306,326.0,400.0,,,,,0.45822825,1.57167386,0.63626432,0.71038994,,,,
F606.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,55385.0,1178.46508,270.0,400.0,,,,,0.50115099,2.21916654,0.45061963,0.77467497,,,,
F607.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,75405.0,1505.60216,401.0,400.0,,,,,0.41801277,1.30332127,0.76727053,0.6916938,,,,
F608.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,73585.0,1304.02857,368.0,400.0,,,,,0.54378215,1.4008383,0.71385827,0.77283803,,,,
F609-aligned.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,35168.0,1530.2956,356.0,400.0,,,,,0.1887152,2.03766079,0.49075882,0.44016396,,,,
F610.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,38362.0,1136.82547,236.0,400.0,,,,,0.37301261,2.5989189,0.38477538,0.65868819,,,,
F611.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,15341.0,1067.7544,132.0,400.0,,,,,0.16909112,5.5075099,0.18157026,0.4856668,,,,
F612.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,78476.0,1353.37677,366.0,400.0,,,,,0.53840525,1.34123052,0.74558399,0.7737114,,,,
F613.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,45299.0,1270.06306,327.0,400.0,,,,,0.35289695,1.91882648,0.52115187,0.60871844,,,,
F614-aligned.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,62890.0,1458.15346,378.0,399.0,,,,,0.37169352,1.1249676,0.88891449,0.63704784,,,,
