Circularity,Aspect Ratio,Roundness,Solidity
0.58823318,2.08278946,0.48012534,0.89374161
0.52210345,2.36558749,0.42272797,0.81697257
0.50141971,2.62808441,0.38050528,0.82176548
0.50398432,2.18361784,0.45795559,0.76923186
0.4941605,3.018279,0.33131463,0.84627699
0.75014189,1.54174557,0.64861545,0.983663
0.57454156,2.66292314,0.37552717,0.85935318
0.42907194,2.63643809,0.37929963,0.70037814
0.50114446,3.18766046,0.3137097,0.81365594
0.47503922,3.1332176,0.31916073,0.76748024
0.48219179,3.44651124,0.29014848,0.85819044
0.5409097,2.50889824,0.39858133,0.81090284
0.4823944,2.9578226,0.33808654,0.79552437
0.56556784,2.46124369,0.40629865,0.85598617
0.49316627,2.70249297,0.37002872,0.8361589
0.62205292,2.33009171,0.42916766,0.90790135
0.49598592,2.95454607,0.33846147,0.9007896
0.57698694,2.48624185,0.40221349,0.901654
0.54073583,2.19698739,0.45516875,0.80833139
0.46430848,3.16576568,0.31587935,0.79387764
0.43633318,2.64823438,0.37761008,0.73274984
0.45381923,2.97377046,0.33627343,0.74920787
0.42427429,3.01415547,0.33176789,0.70870558
0.43866246,2.66434468,0.37532681,0.72668542
0.4725878,2.9535936,0.33857061,0.76925392
0.55351122,1.92264024,0.5201181,0.80716787
0.39492058,3.49538368,0.28609163,0.70685187
0.446277,2.56705172,0.38955195,0.73628697
0.59114801,2.24176258,0.44607757,0.88008123
0.48898072,2.86679412,0.3488217,0.78062191
0.54638415,2.48405412,0.40256772,0.8812089
0.51141732,2.92308812,0.34210395,0.80054799
0.40465198,3.2470085,0.30797579,0.70607295
0.45625547,2.93460297,0.3407616,0.76278932
0.43985583,2.73220102,0.36600528,0.7234686
0.51091697,2.45087541,0.40801748,0.77693952
0.51783007,2.71058753,0.36892371,0.77360003
0.58171635,2.1816179,0.45837541,0.88387853
0.49056557,2.72811185,0.36655389,0.80732208
0.49058629,2.72804195,0.36656328,0.80735619
0.40152563,2.6743099,0.37392824,0.67577401
0.40775844,2.69226416,0.37143458,0.68842545
0.47223307,3.0571592,0.32710106,0.79179797
0.44393922,2.56712381,0.38954101,0.72895783
